symbol_original,symbol,date,close,change_1d,rsi,macd,macd_signal,macd_hist,bb_pctb,bb_bandwidth,support,resistance,hi_52w,lo_52w,td_last_signal,td_curr_buy_count,td_curr_sell_count,tags,local_score,llm_stance,llm_score,llm_summary,final_score,decision
OXY,OXY,2025-10-31,41.2,1.2285,40.8408,-1.1087,-1.0933,-0.0154,0.3253,0.1468,41.12,41.46,52.7,36.11,BUY9,4,0,RSI_neutral MACD_bearish inside_bands on_support near_resistance TD_recent_buy9 TD_sell_perfected,-1,neutral,0,"The stock is currently at 41.2, near support at 41.12 and resistance at 41.46. RSI indicates neutral momentum while MACD is bearish. The price is inside Bollinger Bands, with a recent TD signal suggesting a potential buy but overall indicators show mixed signals.",-1,HOLD
PD,PD,2025-10-31,16.06,1.9683,48.9878,-0.0488,-0.0537,0.0049,0.5968,0.0569,16.04,16.07,21.65,13.92,SELL9,3,0,RSI_neutral MACD_bullish inside_bands on_support near_resistance TD_recent_sell9 TD_sell_perfected,-1,neutral,0,"The stock is currently trading near support at 16.04 and resistance at 16.07, with an RSI of 48.99 indicating neutral momentum. The MACD shows a slight bullish divergence, but the TD indicator has recently signaled a sell. Price is within Bollinger Bands, suggesting consolidation.",-1,HOLD
PDD.O,PDD,2025-10-31,134.87,-0.8382,70.2209,2.0984,1.6813,0.4171,0.6838,0.1194,134.25,135.24,138.08,88.35,SELL9,1,0,RSI_overbought MACD_bullish inside_bands on_support near_resistance TD_recent_sell9 TD_buy_perfected TD_sell_perfected,-1,neutral,0,"PDD is currently exhibiting a neutral trend with an RSI of 70.22 indicating overbought conditions. The MACD is bullish, but the recent TD signal suggests caution with a SELL9. Price is near resistance at 135.24 and support at 134.25, while trading within Bollinger Bands.",-1,HOLD
PYPL.O,PYPL,2025-10-31,69.27,1.9726,50.9879,0.0897,0.1546,-0.0649,0.4122,0.1507,69.25,69.42,91.81,57.41,BUY9,2,0,RSI_neutral MACD_bearish inside_bands on_support near_resistance TD_recent_buy9 TD_sell_perfected,-1,neutral,0,"The momentum is neutral with RSI at 50.99 and MACD showing a bearish histogram. Price is near support at 69.25 and resistance at 69.42, while trading within Bollinger Bands, indicating consolidation.",-1,HOLD
QUBT.O,QUBT,2025-10-31,16.71,11.6232,31.1657,-1.0032,-0.6677,-0.3356,0.3608,0.5937,16.68,16.89,25.68,1.05,BUY9,0,1,RSI_neutral MACD_bearish inside_bands high_volatility_bandwidth on_support near_resistance TD_recent_buy9 TD_sell_perfected,-1,neutral,0,"The momentum is weak with RSI at 31.17 and MACD indicating bearishness. The price is currently at support near 16.68 and close to resistance at 16.89, while trading within Bollinger Bands, suggesting indecision in the market.",-1,HOLD
RDDT.K,RDDT,2025-10-31,208.95,7.4735,52.6749,-3.904,-5.2828,1.3788,0.6768,0.1324,203.63,211.7,270.71,86.91,SELL9,2,0,RSI_neutral MACD_bullish inside_bands near_resistance TD_recent_sell9 TD_buy_perfected TD_sell_perfected,-1,neutral,0,"The momentum is mixed with RSI at 52.67 indicating neutrality, while MACD shows a bullish divergence. The price is near resistance at 211.7 and above support at 203.63, with Bollinger Bands indicating the price is inside the bands.",-1,HOLD
RR.O,RR,2025-10-31,4.82,-2.6263,32.321,0.0975,0.3107,-0.2132,0.1069,0.4491,4.45,5.54,7.06,0.53,BUY9,3,0,RSI_neutral MACD_bearish inside_bands high_volatility_bandwidth TD_recent_buy9 TD_buy_perfected TD_sell_perfected,0,bearish,-1,"The momentum is bearish with an RSI of 32.32 indicating oversold conditions, while the MACD shows a negative histogram. The price is below the Bollinger Bands' midline, and support is at 4.45, with resistance at 5.54.",-1,HOLD
USAR.O,USAR,2025-10-31,19.45,-1.1687,14.3228,-0.4438,1.1673,-1.6111,0.1567,0.8255,17.325,28.27,38.68,5.75,BUY9,8,0,RSI_oversold MACD_bearish inside_bands high_volatility_bandwidth TD_recent_buy9 TD_buy_perfected TD_sell_perfected TD_buy_count_8,1,bearish,-2,"The RSI is at 14.32, indicating oversold conditions, while the MACD shows bearish momentum with a negative histogram. Price is trading below the Bollinger Bands' midline and near support at 17.325, suggesting weakness in the trend.",-1,HOLD
AMD.O,AMD,2025-10-31,256.12,0.5023,71.1846,20.1907,19.6013,0.5894,0.7896,0.2873,254.84,259.67,264.33,78.21,SELL9,1,0,RSI_overbought MACD_bullish inside_bands high_volatility_bandwidth near_52w_high on_support near_resistance TD_recent_sell9 TD_buy_perfected TD_sell_perfected,-2,neutral,0,"AMD shows strong momentum with an RSI of 71.18 and a bullish MACD, indicating potential overbought conditions. The price is near resistance at 259.67 and support at 254.84, while trading within Bollinger Bands, suggesting high volatility.",-2,SELL
ANET.K,ANET,2025-10-31,157.69,-0.4734,61.8464,3.7634,2.8348,0.9285,0.7618,0.1685,156.77,158.23,162.03,64.37,SELL9,0,8,RSI_neutral MACD_bullish inside_bands near_52w_high on_support near_resistance TD_recent_sell9 TD_sell_perfected TD_sell_count_8,-2,neutral,0,"The momentum is mixed with RSI at 61.85 indicating neutrality, while MACD shows bullish characteristics. Price is near key levels of support at 156.77 and resistance at 158.23, with the TD indicator signaling a recent sell pattern.",-2,SELL
JPM,JPM,2025-10-31,311.12,0.5429,53.3026,0.2809,-0.8309,1.1118,0.9116,0.0638,307.55,314.78,316.06,210.28,SELL9,0,5,RSI_neutral MACD_bullish near_upper_band near_52w_high on_support near_resistance TD_recent_sell9 TD_buy_perfected TD_sell_perfected TD_sell_count_5,-2,neutral,0,"JPM is currently trading near the upper Bollinger Band and 52-week high, with an RSI of 53.3 indicating neutral momentum. The MACD is bullish, but the TD sequential shows a recent sell signal, suggesting caution near resistance at 314.78 and support at 307.55.",-2,SELL
NKE,NKE,2025-10-31,64.59,-0.4777,36.8768,-1.4249,-1.2215,-0.2034,0.0263,0.0982,63.29,64.96,81.72,53.27,BUY9,4,0,RSI_neutral MACD_bearish near_lower_band near_resistance TD_recent_buy9 TD_sell_perfected,-1,bearish,-1,"The momentum is bearish with an RSI of 36.88 and a MACD indicating downward pressure. The price is near the lower Bollinger Band at 64.41, with support at 63.29 and resistance at 64.96, suggesting a lack of upward momentum.",-2,SELL
NVDA.O,NVDA,2025-10-31,202.49,-0.1971,65.3588,5.2844,3.1794,2.1051,0.9241,0.1776,185.04,207.04,207.04,94.31,SELL9,0,6,RSI_neutral MACD_bullish near_upper_band near_52w_high TD_recent_sell9 TD_buy_perfected TD_sell_perfected TD_sell_count_6,-2,neutral,0,"The momentum is mixed with RSI at 65.36 indicating neutrality, while MACD shows bullish characteristics. The price is near the upper Bollinger Band and 52-week high at 207.04, but the TD indicator suggests a recent sell signal with a count of 6.",-2,SELL
SOFI.O,SOFI,2025-10-31,29.68,2.2391,59.1367,0.8719,0.7134,0.1586,0.7369,0.2033,29.03,29.81,31.66,9.5,SELL9,1,0,RSI_neutral MACD_bullish inside_bands near_resistance TD_recent_sell9 TD_sell_perfected,-2,neutral,0,"The momentum is mixed with a neutral RSI and a bullish MACD. The price is near resistance at 29.81 and above support at 29.03, while the TD indicator shows a recent sell signal, indicating caution in the current trend.",-2,SELL
TWLO.K,TWLO,2025-10-31,134.88,19.5109,78.9124,3.4619,1.7442,1.7177,1.4831,0.2122,131.06,,148.35,70.57,SELL9,0,8,RSI_overbought MACD_bullish near_upper_band TD_recent_sell9 TD_buy_perfected TD_sell_count_8,-1,bearish,-1,"TWLO shows strong momentum with a high RSI of 78.91 and a bullish MACD, but is currently near the upper Bollinger Band, indicating potential overbought conditions. The TD Sequential indicates a recent sell signal, with 8 sell counts, suggesting a weakening trend despite the recent price surge.",-2,SELL
WULF.O,WULF,2025-10-31,15.5,4.5884,57.2394,0.9277,0.8932,0.0345,0.8648,0.3289,14.5,15.94,15.94,2.24,SELL9,0,5,RSI_neutral MACD_bullish inside_bands high_volatility_bandwidth near_52w_high TD_recent_sell9 TD_sell_perfected TD_sell_count_5,-2,neutral,0,"The momentum is mixed with the RSI at 57.24 indicating neutrality, while the MACD shows bullish momentum. The price is near the 52-week high of 15.94, with support at 14.5 and resistance at 15.94, but the TD indicator suggests a recent sell signal.",-2,SELL
AMZN.O,AMZN,2025-10-31,244.22,9.5845,69.7143,2.1953,-0.1233,2.3186,1.281,0.126,232.33,,244.22,167.32,SELL9,0,1,RSI_neutral MACD_bullish near_upper_band near_52w_high TD_recent_sell9 TD_sell_perfected,-3,neutral,0,"AMZN is currently at a 52-week high with a close of 244.22, showing strong momentum as indicated by a bullish MACD. However, the RSI is nearing overbought levels and a recent TD sell signal suggests caution, while it trades near the upper Bollinger Band.",-3,SELL
APLD.O,APLD,2025-10-31,34.66,2.0913,51.1053,2.7202,3.1917,-0.4715,0.6358,0.3501,34.33,35.9,37.76,3.44,SELL9,0,5,RSI_neutral MACD_bearish inside_bands high_volatility_bandwidth on_support TD_recent_sell9 TD_buy_perfected TD_sell_perfected TD_sell_count_5,-3,neutral,0,"The momentum is mixed with RSI at 51.11 indicating neutrality, while MACD shows a bearish divergence. The price is currently on support at 34.33, with resistance at 35.9, and is trading within Bollinger Bands suggesting high volatility.",-3,SELL
LKNCY.PK,LKNCY,2025-10-31,40.1,1.1604,52.9076,0.2955,0.4011,-0.1056,0.3943,0.1009,39.64,40.56,43.03,21.71,SELL9,2,0,RSI_neutral MACD_bearish inside_bands on_support near_resistance TD_recent_sell9 TD_buy_perfected,-3,neutral,0,"The stock is currently trading near support at 39.64 and resistance at 40.56, with an RSI of 52.91 indicating neutral momentum. The MACD is bearish, while the TD indicator shows a recent sell signal. Price is inside the Bollinger Bands, suggesting consolidation.",-3,SELL
LRCX.O,LRCX,2025-10-31,157.46,-2.2048,72.6226,7.9908,7.3119,0.6789,0.8401,0.2196,155.62,161.01,161.01,59.09,SELL9,0,7,RSI_overbought MACD_bullish inside_bands near_52w_high on_support TD_recent_sell9 TD_buy_perfected TD_sell_perfected TD_sell_count_7,-1,bearish,-2,"The stock is experiencing a bearish momentum with a recent decline of 2.2%. RSI is in overbought territory at 72.62, while the TD sequential shows a SELL9 signal with 7 consecutive sell counts. Price is near resistance at 161.01 and on support at 155.62, indicating potential volatility.",-3,SELL
MS,MS,2025-10-31,164.0,-0.7624,64.2926,2.4324,2.0527,0.3797,0.7607,0.1,158.67,165.26,166.02,99.83,SELL9,1,0,RSI_neutral MACD_bullish inside_bands near_52w_high near_resistance TD_recent_sell9 TD_sell_perfected,-3,neutral,0,"The momentum is mixed with a bullish MACD and a neutral RSI, while the price is near resistance at 165.26 and close to the 52-week high of 166.02. The TD indicator shows a recent sell signal, indicating potential caution. The price is within Bollinger Bands, suggesting consolidation.",-3,SELL
MXL.O,MXL,2025-10-31,15.15,-0.6557,46.1538,-0.1868,0.0375,-0.2242,0.204,0.2365,15.12,15.25,24.92,9.15,SELL9,6,0,RSI_neutral MACD_bearish inside_bands on_support near_resistance TD_recent_sell9 TD_buy_perfected TD_buy_count_6,-3,neutral,0,"The stock is currently near support at 15.12 and resistance at 15.25, with an RSI of 46.15 indicating neutral momentum. The MACD is bearish, and the TD indicator shows a recent sell signal, suggesting a cautious outlook while trading within the Bollinger Bands.",-3,SELL
QCOM.O,QCOM,2025-10-31,180.9,2.0535,71.9871,4.1678,2.7837,1.3841,0.8673,0.1876,177.26,187.68,187.68,124.66,SELL9,1,0,RSI_overbought MACD_bullish inside_bands TD_recent_sell9 TD_sell_perfected,-2,bearish,-1,"QCOM shows a strong bullish MACD but is in overbought territory with an RSI of 71.99. The price is near resistance at 187.68, with a recent TD sell signal indicating potential weakness. Support is at 177.26.",-3,SELL
SOUN.O,SOUN,2025-10-31,17.62,4.4458,42.5197,0.2661,0.6176,-0.3515,0.2831,0.2476,17.36,18.05,24.23,5.03,SELL9,4,0,RSI_neutral MACD_bearish inside_bands on_support TD_recent_sell9,-3,neutral,0,"The momentum is neutral with RSI at 42.52 and MACD showing bearish divergence. Price is near support at 17.36 and resistance at 18.05, while trading within Bollinger Bands, indicating a lack of strong directional movement.",-3,SELL
SYM.O,SYM,2025-10-31,80.95,4.7761,61.1396,4.6252,4.0993,0.5258,1.0898,0.2524,77.26,,80.95,17.5,SELL9,0,5,RSI_neutral MACD_bullish near_upper_band high_volatility_bandwidth near_52w_high TD_recent_sell9 TD_sell_perfected TD_sell_count_5,-3,neutral,0,"The momentum is mixed with a bullish MACD and a neutral RSI, while the price is near the upper Bollinger Band and the 52-week high. The TD Sequential indicates a recent sell signal, and support is identified at 77.26 with no clear resistance level present.",-3,SELL
AAPL.O,AAPL,2025-10-31,270.37,-0.3795,80.5324,6.2959,5.3027,0.9931,0.8568,0.1286,258.45,271.4,271.4,172.42,SELL9,0,8,RSI_overbought MACD_bullish inside_bands near_52w_high near_resistance TD_recent_sell9 TD_buy_perfected TD_sell_perfected TD_sell_count_8,-3,bearish,-1,"AAPL shows overbought conditions with an RSI of 80.53 and a recent TD sell signal. The price is near resistance at 271.4 and the upper Bollinger Band at 275.13, indicating potential price exhaustion despite bullish MACD momentum.",-4,SELL
CLSK.O,CLSK,2025-10-31,17.8,0.6218,43.4922,0.931,1.4188,-0.4877,0.2572,0.3129,17.69,20.09,23.2,6.72,SELL9,2,0,RSI_neutral MACD_bearish inside_bands high_volatility_bandwidth on_support TD_recent_sell9 TD_buy_perfected TD_sell_perfected,-3,bearish,-1,"The momentum is bearish with the MACD histogram negative and RSI indicating neutrality. The price is near support at 17.69, while resistance is at 20.09, and the TD indicator shows a recent sell signal, suggesting caution in the current trend.",-4,SELL
COIN.O,COIN,2025-10-31,343.78,4.6483,45.6833,0.6062,1.9484,-1.3422,0.4156,0.23,335.33,357.1,419.78,151.47,SELL9,2,0,RSI_neutral MACD_bearish inside_bands TD_recent_sell9 TD_buy_perfected,-3,bearish,-1,"The momentum is bearish with the MACD below its signal line and a recent TD sell signal. The RSI is neutral, indicating a lack of strong buying pressure, while the price is near support at 335.33 and below the mid-Bollinger band at 350.587.",-4,SELL
CRWV.O,CRWV,2025-10-31,133.71,2.022,44.1744,2.0756,2.7067,-0.6311,0.4826,0.1845,131.06,136.06,183.58,35.415,SELL9,2,0,RSI_neutral MACD_bearish inside_bands on_support near_resistance TD_recent_sell9,-4,neutral,0,"The momentum is neutral with RSI at 44.17 and MACD showing bearish divergence. The price is near support at 131.06 and resistance at 136.06, while currently trading within Bollinger Bands, indicating a lack of strong directional movement.",-4,SELL
IREN.O,IREN,2025-10-31,60.75,4.3456,46.2837,4.017,5.1568,-1.1398,0.4872,0.267,60.09,61.68,69.56,5.3,SELL9,2,0,RSI_neutral MACD_bearish inside_bands high_volatility_bandwidth on_support near_resistance TD_recent_sell9 TD_buy_perfected TD_sell_perfected,-4,neutral,0,"The stock is currently at 60.75, near support at 60.09 and resistance at 61.68. RSI is neutral at 46.28, while MACD indicates bearish momentum. The price is inside Bollinger Bands, suggesting high volatility, with a recent TD signal indicating a sell.",-4,SELL
JHX,JHX,2025-10-31,20.93,-0.8527,46.0342,0.1827,0.2706,-0.0879,0.1759,0.1052,20.27,21.84,37.2,18.23,SELL9,3,0,RSI_neutral MACD_bearish inside_bands TD_recent_sell9 TD_buy_perfected,-3,bearish,-1,"The momentum is bearish with the RSI at 46.03 and MACD indicating a negative histogram. The price is below the Bollinger midline and near support at 20.27, while resistance is at 21.84, suggesting a lack of upward momentum.",-4,SELL
JNJ,JNJ,2025-10-31,188.87,-0.0952,43.1372,1.6134,2.5749,-0.9615,0.2895,0.0406,188.16,189.05,193.72,142.06,SELL9,7,0,RSI_neutral MACD_bearish inside_bands bollinger_squeeze on_support near_resistance TD_recent_sell9 TD_buy_perfected TD_buy_count_7,-3,bearish,-1,"The momentum is bearish with the RSI at 43.14 and a MACD histogram indicating downward pressure. The price is near support at 188.16 but also close to resistance at 189.05, while Bollinger Bands suggest a squeeze, indicating potential volatility.",-4,SELL
META.O,META,2025-10-31,648.35,-2.7188,29.5102,-9.9028,-4.6025,-5.3003,-0.2097,0.1399,640.34,656.47,790.0,484.66,SELL9,2,0,RSI_oversold MACD_bearish near_lower_band on_support near_resistance TD_recent_sell9 TD_buy_perfected TD_sell_perfected,-2,bearish,-2,"The momentum is bearish with an RSI of 29.51 indicating oversold conditions, and MACD showing a strong negative divergence. The price is near the lower Bollinger Band and support at 640.34, while resistance is at 656.47, with a recent TD sell signal suggesting continued downward pressure.",-4,SELL
MU.O,MU,2025-10-31,223.77,-0.1071,73.8315,15.3973,14.701,0.6963,0.859,0.2749,202.38,226.63,226.63,64.72,SELL9,0,7,RSI_overbought MACD_bullish inside_bands high_volatility_bandwidth near_52w_high near_resistance TD_recent_sell9 TD_sell_count_7,-3,bearish,-1,"The momentum is showing signs of weakness with a high RSI indicating overbought conditions and a recent TD sell signal. The price is near resistance at 226.63, while support is at 202.38, suggesting potential for a pullback.",-4,SELL
NEE,NEE,2025-10-31,81.4,-0.294,38.6185,1.3807,2.1081,-0.7274,0.0454,0.0609,78.18,84.04,86.03,64.11,SELL9,3,0,RSI_neutral MACD_bearish near_lower_band TD_recent_sell9 TD_buy_perfected TD_sell_perfected,-3,bearish,-1,"The momentum is bearish with an RSI of 38.62 indicating oversold conditions. The MACD is below its signal line, and the price is near the lower Bollinger Band at 81.1684, with support at 78.18 and resistance at 84.04. The TD indicator shows a recent sell signal.",-4,SELL
PLTR.O,PLTR,2025-10-31,200.47,3.0429,74.6294,5.3176,3.6439,1.6737,1.0884,0.1545,194.55,,200.47,41.41,SELL9,0,7,RSI_overbought MACD_bullish near_upper_band near_52w_high TD_recent_sell9 TD_buy_perfected TD_sell_perfected TD_sell_count_7,-3,bearish,-1,"The momentum is weakening as indicated by the overbought RSI at 74.63 and a recent TD sell signal. The price is near the upper Bollinger Band and 52-week high, but the MACD shows bullish momentum. Key support is at 194.55.",-4,SELL
RIOT.O,RIOT,2025-10-31,19.78,-6.2115,44.3761,0.7697,1.0443,-0.2745,0.1392,0.1922,19.55,21.56,23.0,6.29,SELL9,2,0,RSI_neutral MACD_bearish inside_bands on_support TD_recent_sell9 TD_buy_perfected TD_sell_perfected,-3,bearish,-1,"The momentum is bearish with the MACD below its signal line and a recent TD sell signal. The price is near support at 19.55, while the RSI indicates neutral conditions. The stock is trading within Bollinger Bands, suggesting limited volatility.",-4,SELL
SMTC.O,SMTC,2025-10-31,67.86,0.0737,49.0289,1.1744,1.5987,-0.4243,0.3764,0.0951,67.81,68.27,77.15,24.34,SELL9,1,0,RSI_neutral MACD_bearish inside_bands on_support near_resistance TD_recent_sell9 TD_buy_perfected TD_sell_perfected,-4,neutral,0,"The stock is currently at 67.86, near support at 67.81 and resistance at 68.27. RSI is neutral at 49.03, while MACD shows bearish momentum with a negative histogram. The price is inside Bollinger Bands, indicating a lack of strong trend direction.",-4,SELL
SNOW.K,SNOW,2025-10-31,274.88,1.3644,75.6646,10.7869,8.5078,2.279,0.9956,0.1899,242.17,,274.88,113.74,SELL9,0,8,RSI_overbought MACD_bullish near_upper_band near_52w_high TD_recent_sell9 TD_buy_perfected TD_sell_perfected TD_sell_count_8,-3,bearish,-1,"The momentum shows signs of weakness with an overbought RSI at 75.66 and a recent TD sell signal. The price is near the upper Bollinger Band and the 52-week high, but the MACD indicates bullish momentum. Key support is at 242.17.",-4,SELL
TTD.O,TTD,2025-10-31,50.28,2.6751,46.909,-0.1549,0.09,-0.2449,0.232,0.1271,49.9,51.1,139.51,43.93,SELL9,6,0,RSI_neutral MACD_bearish inside_bands on_support near_resistance TD_recent_sell9 TD_buy_perfected TD_sell_perfected TD_buy_count_6,-4,neutral,0,"The stock is currently at 50.28, near support at 49.9 and resistance at 51.1. RSI is neutral at 46.91, while MACD indicates bearish momentum. The price is within Bollinger Bands, suggesting a lack of volatility.",-4,SELL
WDAY.O,WDAY,2025-10-31,239.92,3.0274,53.1923,0.6062,1.1319,-0.5256,0.6441,0.0747,238.04,240.0,279.91,210.47,SELL9,0,1,RSI_neutral MACD_bearish inside_bands on_support near_resistance TD_recent_sell9 TD_buy_perfected TD_sell_perfected,-4,neutral,0,"WDAY shows a neutral momentum with an RSI of 53.19 and a MACD indicating bearish divergence. The price is near support at 238.04 and resistance at 240.0, while trading within Bollinger Bands, suggesting consolidation.",-4,SELL
ACHR.K,ACHR,2025-10-31,11.22,2.3723,34.8337,0.1457,0.3196,-0.1739,0.301,0.2758,11.14,11.34,13.64,3.15,SELL9,2,0,RSI_neutral MACD_bearish inside_bands high_volatility_bandwidth on_support near_resistance TD_recent_sell9 TD_buy_perfected TD_sell_perfected,-4,bearish,-1,"The momentum is bearish with the RSI at 34.83 indicating potential weakness, while the MACD shows a negative histogram. The price is near support at 11.14 and resistance at 11.34, with the TD indicator signaling a recent sell.",-5,SELL
AI,AI,2025-10-31,17.58,3.2296,36.5817,-0.1678,-0.0457,-0.1221,0.236,0.1566,17.56,17.95,42.94,15.46,SELL9,3,0,RSI_neutral MACD_bearish inside_bands on_support TD_recent_sell9 TD_sell_perfected,-4,bearish,-1,"The stock is showing bearish momentum with an RSI of 36.58 and a MACD indicating downward pressure. It is currently testing support at 17.56, with resistance nearby at 17.95, while trading within Bollinger Bands, suggesting limited upward movement.",-5,SELL
B,B,2025-10-31,32.8,-0.7865,47.524,0.2113,0.4605,-0.2491,0.4426,0.1341,32.77,33.06,35.65,15.23,SELL9,0,5,RSI_neutral MACD_bearish inside_bands on_support near_resistance TD_recent_sell9 TD_buy_perfected TD_sell_perfected TD_sell_count_5,-4,bearish,-1,"The momentum is bearish with the MACD histogram negative and the TD indicator showing a recent sell signal. The price is near support at 32.77 and resistance at 33.06, while the RSI indicates neutral momentum. The stock is trading within Bollinger Bands, suggesting limited volatility.",-5,SELL
BBAI.K,BBAI,2025-10-31,6.92,2.6706,24.8,0.004,0.1393,-0.1353,0.3163,0.3501,6.78,7.09,9.78,1.58,SELL9,2,0,RSI_oversold MACD_bearish inside_bands high_volatility_bandwidth TD_recent_sell9 TD_buy_perfected TD_sell_perfected,-3,bearish,-2,"The RSI indicates oversold conditions at 24.8, while the MACD shows a bearish trend with a negative histogram. Price is near support at 6.78, with resistance at 7.09, and the TD signals a recent sell, suggesting continued downward momentum.",-5,SELL
BIDU.O,BIDU,2025-10-31,120.87,-0.7717,43.4759,-0.0389,0.6738,-0.7127,0.3402,0.2339,120.01,121.58,144.91,76.86,SELL9,2,0,RSI_neutral MACD_bearish inside_bands on_support near_resistance TD_recent_sell9 TD_buy_perfected TD_sell_perfected,-4,bearish,-1,"The momentum is bearish with the RSI at 43.48 and MACD indicating a negative trend. The price is near support at 120.01 but also close to resistance at 121.58, while the TD indicator shows a recent sell signal.",-5,SELL
CIFR.O,CIFR,2025-10-31,18.65,-2.2024,44.1924,1.5961,1.9023,-0.3061,0.4985,0.365,16.97,19.91,21.03,2.1,SELL9,2,0,RSI_neutral MACD_bearish inside_bands high_volatility_bandwidth TD_recent_sell9 TD_buy_perfected TD_sell_perfected,-4,bearish,-1,"The momentum is bearish with the MACD histogram negative and the RSI indicating neutrality. The price is near the middle of the Bollinger Bands, with support at 16.97 and resistance at 19.91, while the TD indicator shows a recent sell signal.",-5,SELL
GOOGL.O,GOOGL,2025-10-31,281.19,-0.103,84.6817,9.6153,7.0013,2.6141,1.0109,0.1968,267.47,281.48,281.48,144.7,SELL9,0,6,RSI_overbought MACD_bullish near_upper_band near_52w_high near_resistance TD_recent_sell9 TD_buy_perfected TD_sell_perfected TD_sell_count_6,-4,bearish,-1,"GOOGL is showing bearish momentum with an RSI in overbought territory at 84.68 and a recent TD sell signal. The price is near the upper Bollinger Band and 52-week high, with resistance at 281.48 and support at 267.47, indicating potential weakness.",-5,SELL
INTC.O,INTC,2025-10-31,39.99,-0.4233,61.4938,2.2749,2.3653,-0.0904,0.8016,0.1674,36.92,41.53,41.53,18.13,SELL9,0,8,RSI_neutral MACD_bearish inside_bands TD_recent_sell9 TD_sell_count_8,-4,bearish,-1,"The momentum is bearish with the MACD histogram negative and a recent TD sell signal. The RSI indicates neutral momentum, while the price is near the upper Bollinger Band, suggesting potential resistance at 41.53, with support at 36.92.",-5,SELL
IONQ.K,IONQ,2025-10-31,62.38,3.6729,28.9198,-1.0268,0.1065,-1.1333,0.3636,0.5027,61.5,62.8,82.09,14.37,SELL9,2,0,RSI_oversold MACD_bearish inside_bands high_volatility_bandwidth on_support near_resistance TD_recent_sell9 TD_buy_perfected TD_sell_perfected,-3,bearish,-2,"The momentum is bearish with an RSI indicating oversold conditions at 28.92 and a MACD below zero. The price is near support at 61.5 and resistance at 62.8, while the TD indicator shows a recent sell signal. The Bollinger Bands indicate high volatility with the price inside the bands.",-5,SELL
NB.O,NB,2025-10-31,7.37,-7.4121,30.4068,0.15,0.475,-0.325,0.2042,0.5547,7.31,7.63,11.67,1.3,SELL9,0,1,RSI_neutral MACD_bearish inside_bands high_volatility_bandwidth on_support TD_recent_sell9 TD_buy_perfected TD_sell_perfected,-3,bearish,-2,"The stock is experiencing bearish momentum with an RSI of 30.41 indicating oversold conditions. The MACD is also bearish, and the price is near support at 7.31, while resistance is at 7.63. The TD indicator shows a recent sell signal, reinforcing the bearish outlook.",-5,SELL
NBIS.O,NBIS,2025-10-31,130.82,5.3471,47.0287,5.0772,5.0954,-0.0182,0.7589,0.3213,129.58,132.64,135.46,17.6,SELL9,0,6,RSI_neutral MACD_bearish inside_bands high_volatility_bandwidth near_52w_high on_support near_resistance TD_recent_sell9 TD_buy_perfected TD_sell_count_6,-4,bearish,-1,"The momentum is bearish with the MACD histogram negative and the TD Sequential indicating a recent sell signal. The price is near support at 129.58 and resistance at 132.64, while the RSI suggests neutral conditions, indicating potential indecision in the market.",-5,SELL
OKLO.K,OKLO,2025-10-31,132.77,-3.3627,31.5977,4.2908,7.9726,-3.6818,0.3075,0.4342,132.28,137.43,174.14,18.0,SELL9,1,0,RSI_neutral MACD_bearish inside_bands high_volatility_bandwidth on_support TD_recent_sell9 TD_buy_perfected TD_sell_perfected,-3,bearish,-2,"The momentum is bearish with an RSI of 31.6 indicating oversold conditions. The MACD is negative, and the price is near support at 132.28, while resistance is at 137.43. The TD indicator shows a recent sell signal, suggesting continued downward pressure.",-5,SELL
QBTS.K,QBTS,2025-10-31,37.06,2.6309,45.2533,1.9592,2.4754,-0.5162,0.5881,0.459,34.25,44.78,44.78,0.999,SELL9,0,5,RSI_neutral MACD_bearish inside_bands high_volatility_bandwidth TD_recent_sell9 TD_buy_perfected TD_sell_perfected TD_sell_count_5,-4,bearish,-1,"The momentum is currently bearish with the RSI at 45.25 and a negative MACD histogram. The price is near support at 34.25, while resistance is at 44.78, indicating potential volatility within the Bollinger Bands.",-5,SELL
RGTI.O,RGTI,2025-10-31,44.27,4.1157,35.9147,2.2692,3.4076,-1.1384,0.5054,0.5228,43.92,47.11,56.34,1.12,SELL9,0,2,RSI_neutral MACD_bearish inside_bands high_volatility_bandwidth on_support TD_recent_sell9 TD_sell_perfected,-4,bearish,-1,"The momentum is bearish with the RSI at 35.91 indicating potential weakness. The MACD shows a negative histogram, and the TD Sequential indicates a recent sell signal. Price is near support at 43.92, with resistance at 47.11.",-5,SELL
RKLB.O,RKLB,2025-10-31,62.98,3.3815,46.1085,2.5824,3.5083,-0.926,0.3425,0.1633,60.92,65.62,69.27,10.7,SELL9,2,0,RSI_neutral MACD_bearish inside_bands TD_recent_sell9 TD_buy_perfected TD_sell_perfected,-4,bearish,-1,"The momentum is bearish as indicated by the MACD histogram being negative and the TD signal showing a recent sell. The RSI is neutral, while the price is trading below the Bollinger midline and near support at 60.92, with resistance at 65.62.",-5,SELL
